Speed,Theta 1,Theta 2,Theta 3,Theta 4,,,
14,394.62,352.91,49997,29914,598.82,377.25,
17,2748.5,174.13,23671,23924,521.93,870.68,
8,3780.6,233.89,2035.2,21162,162.83,458.68,
11,1523.6,284.19,8441.8,29960,15.523,805.79,
14,1122,379.25,9505.4,27808,795.02,904.77,
8,4184.1,333.01,19966,29976,631.82,919.75,
11,400.93,17.413,41424,13963,608,284.23,
14,754.16,159.6,31928,22178,687.72,746.02,
17,47.302,60.788,44564,3104.9,930.52,271.79,
20,39.317,364.34,43673,7695,446.73,467.13,
23,1255.6,106.22,37713,29695,393.66,494.11,
26,1381.1,350.19,28045,28133,14.258,470.98,
29,518.4,74.981,46902,10644,6.0762,732.27,
32,1188.4,85.623,5861.5,19780,926.22,64.174,
35,1133.6,203.07,15946,25890,672.94,599.93,
8,4823.7,14.934,49717,29965,27.919,56.769,
11,1231.8,74.339,7063.3,22492,974.7,731.01,
14,746.75,3.7527,21709,29426,827.17,796.67,
17,1410.5,4.7689,6491.7,24801,966.95,188.41,
20,440.21,49.876,43263,8821.7,737.87,74.552,
23,588.26,15.611,14949,9947,999.57,133.57,
26,1106.7,37.564,20142,27392,534.56,124.51,
29,735.29,0.76168,49772,18333,868.12,672.53,
32,3207.5,362.76,20788,5305.5,119.73,626.74,
35,4787,85.376,36697,4641.7,945.12,305.02,
26,28.801,133.82,25013,4045.6,981.9,814.16,
26,2171.1,15.825,24674,29913,192.07,550.01,
26,1942,35.197,2874.6,28416,697.22,973.31,
26,1451.1,98.703,13127,23778,771.6,986.59,
26,3171.3,202.78,555.69,185.11,132.3,484.55,
26,1500,12.269,20543,25920,431.7,1.7403,
26,2090,4.9943,2018.3,29369,400.58,931.53,
26,875.54,61.216,7207.1,12026,909.63,791.67,
26,1349,3.3422,46238,20899,550.94,913.98,
26,1411.8,49.907,25552,21616,111.13,328.39,
26,2261.1,0.65383,15651,29899,284.86,445.05,
26,2158.6,2.383,2006.9,29906,270.82,813.37,
new trials,,,,,,,
8,4135,278.31,7691.3,29998,680.65,288.67,
9,1065.7,174.66,2053.5,14770,76.416,688.12,
10,1907.2,236.4,35300,26201,390.87,122.26,
11,802.22,17.484,9070.5,14961,955.12,816.62,
12,1600.4,196.25,49725,29845,882.61,784.27,
13,933.69,75.045,47399,23696,202.68,821.35,
14,916.87,20.825,44964,26537,442.94,40.98,
15,1326.1,261.23,48193,27767,970.74,945.81,
16,1228.7,205.7,47820,28658,159.87,350.15,
17,1224.9,14.807,19257,29920,362.64,14.22,
18,1268.2,106.09,18584,27634,155.84,224.22,
19,582.66,375.09,15929,22896,579.83,316.98,
20,333.94,60.259,40529,10175,669.03,314.48,
21,878.21,178.1,5396.7,15008,411.63,169.98,
22,1639.8,255.57,49278,29044,391.3,82.885,
23,1540.2,127.89,13902,28329,210.27,434.98,
24,2599.8,68.199,5167.2,23.486,15.358,526.83,
25,1770.9,184.89,7533.1,27279,175.92,494.48,
26,209.86,327.18,6581.7,19426,952.99,990.89,
27,1727,5.5608,14744,27988,646.54,947.5,
28,1999.4,189.76,5817.1,28643,253.98,338.38,
29,1755.6,130.54,2324.3,27417,729.04,228.27,
30,1621.7,20.991,13465,25701,17.258,905.4,
31,480.74,11.814,17977,12241,615.66,822.62,
32,1006.3,35.853,37746,29659,205.24,455.07,
33,42.066,5.5831,16587,29308,765.07,530.01,
34,4834.1,218.13,44992,25.553,821.96,448.96,
35,1368.8,138.96,23551,25485,982.41,977.86,
36,1358.2,84.738,32692,29884,92.768,988.45,
once again for velocities over 24 because there were some transients and stuff,,,,,,,
247.09,8,3666.9,55.509,1332.6,29472,261.01,4.8661
136.81,24,651.67,2.8418,14162,9141.4,43.4,283.63
213.27,25,875.16,185.39,6238.5,29837,122.38,989.56
147.79,26,2217.7,47.551,49603,29864,390.49,520.49
151.17,27,1932.9,0.87444,21461,25449,544.11,278.45
162.83,28,1609,10.295,31284,27044,135.73,432.87
161.43,29,2080.4,6.4948,10943,27337,276.03,462.85
515.29,6,36.586,397.27,23045,6918.9,8.6184,876.83
314.87,7,4825.8,326.72,22779,9609.6,5.2482,442.84
247.67,8,3380,68,40.78,25998,303.02,575.12
169.1,30,2700.5,12.799,1170.6,32477,573.36,434.42
174.36,31,1664.5,0.90451,5051.3,23949,117.99,672.28
396.87,32,3936.3,91.149,8262.9,120.73,530.45,832.18
187.77,33,1938.4,16.936,4416.2,27748,338.37,673.76
198.06,34,2278.9,10.448,12117,34953,499.78,108.56
203.83,35,2199,5.7,584.76,32777,362.86,21.054
218.77,9,2064.9,5.9767,2104.1,24898,58.273,983.54
175.13,10,2642,287.11,33801,34995,972.78,829.48
133.14,11,2243.8,180.57,16115,34922,171.18,498.74
122.73,12,1623.7,69.653,54929,32283,513.27,95.326
115.92,13,951.47,9.3919,50667,25161,102.02,716.78
111.67,14,1168.3,390.51,48014,24253,262.53,140.81
109.36,15,1277.5,399.1,52627,28645,341.11,693.53
